id_street;street;id_key_access
811;Яблочкова;860
812;Фонвизина;861
813;Ангарская;863
814;Большая Филевская;864
815;Барклая;865
816;Кастанаевская;866
817;Крылатская;867
818;Крылатское;868
819;Крылатские Холмы;869
820;Кунцево;870
821;Малая Филевская;871
822;Можайское шоссе;872
823;Оршанская;874
824;Осенний бульвар;875
825;Вересаева;879
826;Физкультурный проезд;880
827;Славянский бульвар;881
828;Маршала Неделина;882
829;Осенняя;883
830;Молодогвардейская;884
831;Сеславинская;885
832;Звенигородская;886
833;Олеко Дундича;887
834;Свиридова Алексея;888
835;Герасима Курина;889
836;Кунцевская;890
837;Толбухина;891
838;Партизанская;892
839;Филевский бульвар;893
840;Ивана Франко;894
841;Веерная;895
842;проезд Загорского;896
843;Аминьевское шоссе;898
844;Новозаводская;899
845;Пинский проезд;900
846;Горбунова;901
847;Библиотечная;902
848;Волочаевская;903
849;площадь Ильича;904
850;Сергия Радонежского;905
851;площадь Рогожская Застава;906
852;Беговая;908
853;Демьяна Бедного;909
854;Ходынская;910
855;Хорошевское шоссе;911
856;Хорошевский переулок;912
857;Красногвардейский бульвар;913
858;Крутицкий Вал;914
859;Маршала Бирюзова;915
860;Мельникова;916
861;Народного Ополчения;917
862;Нововаганьковский переулок;918
863;Пресненский Вал;919
864;Сергея Макеева;921
865;Шмитовский проезд;922
866;Строгино;923
867;Строгинский бульвар;924
868;Студенецкий переулок;925
869;Таллинская;926
870;Трехгорный Вал;927
871;Звенигородское шоссе;928
872;Маршала Малиновского;929
873;проспект Маршала Жукова;930
874;Карамышевская набережная;931
875;Сиреневый бульвар;932
876;Маршала Конева;933
877;Мантулинская;934
878;Симоновский Вал;935
879;1905 года;936
880;Маршала Василевского;937
881;2-я Звенигородская;938
882;Куусинена;939
883;Врачебный проезд;940
884;Подвойского;941
885;Столярный переулок;942
886;Анатолия Живова;943
887;Аэродромная;944
888;Расплетина;945
889;Большой Симоновский переулок;946
890;Большая Декабрьская;947
891;Крутицкая набережная;948
892;2-й Хорошевский проезд;949
893;Маршала Рыбалко;950
894;Маршала Тухачевского;951
895;Походный проезд;952
896;Полины Осипенко;953
897;Рязанский проспект;954
898;Средний Трехгорный переулок;955
899;Генерала Белобородова;956
900;Ирины Левченко;957
901;Саратовская;958
902;Стройковская;959
903;Зеленодольская;961
904;Большая Серпуховская;962
905;Дербеневская;963
906;Космодамианская набережная;964
907;Павелецкая площадь;965
908;Павла Андреева;966
909;Стремянный переулок;967
910;Татарская;968
911;Валовая;969
912;2-й Щипковский переулок;970
913;1-й Щипковский переулок;971
914;Серпуховской Вал;972
915;Бахрушина;973
916;Большой Строченовский переулок;974
917;Большая Пионерская;975
918;Люсиновская;976
919;2-й Павловский переулок;977
920;2-й Добрынинский переулок;978
921;Дубининская;979
922;Строченовский переулок;980
923;Аптекарский переулок;981
924;Бакунинская;982
925;Елоховский проезд;983
926;Казакова;984
927;Красноказарменная;985
928;Ладожская;986
929;Нижняя Сыромятническая;987
930;Рубцов переулок;988
931;Старая Басманная;989
932;Верхняя Сыромятническая;990
933;Земляной Вал;991
934;Фридриха Энгельса;992
935;Воронцово Поле;993
936;Костомаровский переулок;994
937;Бауманская;995
938;Токмаков переулок;996
939;Рубцовская набережная;997
940;Малый Демидовский переулок;998
941;Старый Басманный переулок;999
942;4-й Сыромятнический переулок;1000
943;Радио;1001
944;Доброслободская;1002
945;Наставнический переулок;1003
946;Большая Бронная;1004
947;Большой Козихинский переулок;1005
948;Большой Палашевский переулок;1006
949;Большой Патриарший переулок;1007
950;Благовещенский переулок;1008
951;Богословский переулок;1009
952;Ермолаевский переулок;1010
953;Гранатный переулок;1011
954;Малая Бронная;1012
955;Малый Козихинский переулок;1013
956;Малый Патриарший переулок;1014
957;Спиридоньевский переулок;1015
958;Спиридоновка;1016
959;Сытинский переулок;1017
960;Трехпрудный переулок;1018
961;Вспольный переулок;1019
962;Сытинский тупик;1020
963;Мамоновский переулок;1021
964;Малый Палашевский переулок;1022
965;Исаковского;1023
966;Спартаковская;1025
967;Каширский проезд;1026
968;Свободный проспект;1027
969;Маршала Захарова;1028
970;Большая Марьинская;1029
971;Кулакова;1030
972;Энтузиастов шоссе;1031
973;Ферганский проезд;1032
974;22-23 Квартал Новых Черемушек;1034
975;Тепличный переулок;1035
976;Ярцевская;1036
977;Егерская;1037
978;Переведеновский переулок;1038
979;7-я Кожуховская;1042
980;Рогожский Вал;1043
981;Рабочая;1044
982;Кутузова;1045
983;Новоглаголево;1046
984;Первомайское;1047
985;Ферганская;1048
986;Щербаковская;1049
987;Мурановская;1051
988;Загородное шоссе;1053
989;Каховка;1054
990;Генерала Глаголева;1056
991;Покровские Холмы;1057
992;Большой Толмачевский переулок;1058
993;Лазоревый проезд;1059
994;Погорельский переулок;1060
995;Генерала Белова;1061
996;Хитровский переулок;1062
997;Генерала Антонова;1063
998;Алтуфьевское шоссе;1064
999;Матвеевская;1065
1000;Нахабино;1066
1001;Маршала Соколовского;1067
1002;Малый Козловский переулок;1068
1003;Большая Татарская;1069
1004;Перовская;1070
1005;Динамовская;1071
1006;Калужское шоссе;1072
1007;Академика Комарова;1073
1008;Кунцево-4;1074
1009;Артамонова;1075
1010;Пенино;1076
1011;Новоподмосковная;1077
1012;Коломенская набережная;1079
1013;Ватутина;1080
1014;Восточная;1081
1015;Михалковская (метро Водный Стадион);1082
1016;Сыромятническая;1083
1017;Горки-10;1084
1018;Тишково;1085
1019;Серебрянка;1087
1020;Привольная;1088
1021;Твардовского;1089
1022;Полет;1091
1023;Горки-8;1092
1024;Бажова;1093
1025;Костикова;1094
1026;Академика Варги;1095
1027;Шверника;1096
1028;Мячковский бульвар;1097
1029;Маршала Мерецкого;1098
1030;Бориса Галушкина;1099
1031;Николин Ручей;1100
1032;г. Суздаль;1102
1033;Шарикоподшипниковская;1103
1034;Малая Переяславская;1104
1035;Мичуринец;1105
1036;Живописная;1106
1037;2-я Ямская;1108
1038;Чигасово;1109
1039;Малый Песчаный переулок;1111
1040;Воскресенское;1112
1041;3-я Парковая;1113
1042;6-й Новоподмосковный переулок;1114
1043;Кировоградская;1115
1044;Симферопольский бульвар;1116
1045;Красносельская;1117
1046;8-я Текстильщиков;1118
1047;1-я Машиностроения;1119
1048;Юннатов;1120
1049;Сокольническая площадь;1121
1050;Хромова;1122
1051;Дорогобужская;1123
1052;1-й Павловский переулок;1124
1053;Беломорская;1125
1054;Авиационная;1126
1055;1-я Дубровская;1127
1056;Подколокольный переулок;1128
1057;Абельмановская;1129
1058;Енисейская;1130
